Class,Precision,Recall,F1-Score,Support,experiment,run_id
Pasture,0.925,0.9736842105263158,0.9487179487179487,38.0,20% Synthetic + Geometric,2
PermanentCrop,0.9787234042553191,0.9019607843137255,0.9387755102040817,51.0,20% Synthetic + Geometric,2
Residential,0.9838709677419355,1.0,0.991869918699187,61.0,20% Synthetic + Geometric,2
River,0.9607843137254902,0.9607843137254902,0.9607843137254902,51.0,20% Synthetic + Geometric,2
SeaLake,1.0,0.9661016949152542,0.9827586206896551,59.0,20% Synthetic + Geometric,2
AnnualCrop,0.9333333333333333,0.9655172413793104,0.9491525423728814,58.0,30% Synthetic + Geometric,2
Forest,0.9310344827586207,1.0,0.9642857142857143,54.0,30% Synthetic + Geometric,2
HerbaceousVegetation,0.9253731343283582,0.96875,0.9465648854961832,64.0,30% Synthetic + Geometric,2
Highway,0.9423076923076923,0.9074074074074074,0.9245283018867925,54.0,30% Synthetic + Geometric,2
Industrial,0.9259259259259259,1.0,0.9615384615384616,50.0,30% Synthetic + Geometric,2
Pasture,1.0,0.8947368421052632,0.9444444444444444,38.0,30% Synthetic + Geometric,2
PermanentCrop,0.9534883720930233,0.803921568627451,0.8723404255319149,51.0,30% Synthetic + Geometric,2
Residential,1.0,0.9836065573770492,0.9917355371900827,61.0,30% Synthetic + Geometric,2
River,0.9433962264150944,0.9803921568627451,0.9615384615384616,51.0,30% Synthetic + Geometric,2
SeaLake,0.9830508474576272,0.9830508474576272,0.9830508474576272,59.0,30% Synthetic + Geometric,2
AnnualCrop,0.9661016949152542,0.9827586206896551,0.9743589743589743,58.0,40% Synthetic + Geometric,2
Forest,1.0,1.0,1.0,54.0,40% Synthetic + Geometric,2
HerbaceousVegetation,0.9523809523809523,0.9375,0.9448818897637795,64.0,40% Synthetic + Geometric,2
Highway,0.9285714285714286,0.9629629629629629,0.9454545454545454,54.0,40% Synthetic + Geometric,2
Industrial,0.9423076923076923,0.98,0.9607843137254902,50.0,40% Synthetic + Geometric,2
Pasture,0.9722222222222222,0.9210526315789473,0.9459459459459459,38.0,40% Synthetic + Geometric,2
PermanentCrop,0.9591836734693877,0.9215686274509803,0.94,51.0,40% Synthetic + Geometric,2
Residential,1.0,1.0,1.0,61.0,40% Synthetic + Geometric,2
River,0.9807692307692307,1.0,0.9902912621359223,51.0,40% Synthetic + Geometric,2
SeaLake,1.0,0.9830508474576272,0.9914529914529915,59.0,40% Synthetic + Geometric,2
AnnualCrop,0.9649122807017544,0.9482758620689655,0.9565217391304348,58.0,50% Synthetic + Geometric,2
Forest,0.9473684210526315,1.0,0.972972972972973,54.0,50% Synthetic + Geometric,2
HerbaceousVegetation,0.953125,0.953125,0.953125,64.0,50% Synthetic + Geometric,2
Highway,0.9622641509433962,0.9444444444444444,0.9532710280373832,54.0,50% Synthetic + Geometric,2
Industrial,0.9245283018867925,0.98,0.9514563106796117,50.0,50% Synthetic + Geometric,2
Pasture,1.0,0.9473684210526315,0.972972972972973,38.0,50% Synthetic + Geometric,2
PermanentCrop,0.9387755102040817,0.9019607843137255,0.92,51.0,50% Synthetic + Geometric,2
Residential,1.0,0.9672131147540983,0.9833333333333333,61.0,50% Synthetic + Geometric,2
River,0.9444444444444444,1.0,0.9714285714285714,51.0,50% Synthetic + Geometric,2
SeaLake,1.0,0.9830508474576272,0.9914529914529915,59.0,50% Synthetic + Geometric,2
AnnualCrop,0.9180327868852459,0.9655172413793104,0.9411764705882353,58.0,No Augmentation,3
Forest,0.9814814814814815,0.9814814814814815,0.9814814814814815,54.0,No Augmentation,3
HerbaceousVegetation,0.9384615384615385,0.953125,0.9457364341085271,64.0,No Augmentation,3
Highway,0.9807692307692307,0.9444444444444444,0.9622641509433962,54.0,No Augmentation,3
Industrial,0.9245283018867925,0.98,0.9514563106796117,50.0,No Augmentation,3
Pasture,0.9459459459459459,0.9210526315789473,0.9333333333333333,38.0,No Augmentation,3
PermanentCrop,0.9387755102040817,0.9019607843137255,0.92,51.0,No Augmentation,3
Residential,1.0,0.9672131147540983,0.9833333333333333,61.0,No Augmentation,3
River,0.9615384615384616,0.9803921568627451,0.970873786407767,51.0,No Augmentation,3
SeaLake,1.0,0.9830508474576272,0.9914529914529915,59.0,No Augmentation,3
AnnualCrop,0.9824561403508771,0.9655172413793104,0.9739130434782609,58.0,Geometric Augmentation,3
Forest,0.9818181818181818,1.0,0.9908256880733946,54.0,Geometric Augmentation,3
HerbaceousVegetation,0.9253731343283582,0.96875,0.9465648854961832,64.0,Geometric Augmentation,3
Highway,0.8983050847457628,0.9814814814814815,0.9380530973451328,54.0,Geometric Augmentation,3
Industrial,0.9423076923076923,0.98,0.9607843137254902,50.0,Geometric Augmentation,3
Pasture,1.0,0.9473684210526315,0.972972972972973,38.0,Geometric Augmentation,3
PermanentCrop,0.9787234042553191,0.9019607843137255,0.9387755102040817,51.0,Geometric Augmentation,3
Residential,1.0,0.9836065573770492,0.9917355371900827,61.0,Geometric Augmentation,3
River,1.0,0.9803921568627451,0.9900990099009901,51.0,Geometric Augmentation,3
SeaLake,1.0,0.9661016949152542,0.9827586206896551,59.0,Geometric Augmentation,3
AnnualCrop,0.9491525423728814,0.9655172413793104,0.9572649572649573,58.0,5% Synthetic Data,3
Forest,0.9818181818181818,1.0,0.9908256880733946,54.0,5% Synthetic Data,3
HerbaceousVegetation,0.9682539682539683,0.953125,0.9606299212598425,64.0,5% Synthetic Data,3
Highway,0.9622641509433962,0.9444444444444444,0.9532710280373832,54.0,5% Synthetic Data,3
Industrial,0.9615384615384616,1.0,0.9803921568627451,50.0,5% Synthetic Data,3
